condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
baseline,none,789,11,0.0,0.015451,0.087507
baseline,none,789,12,0.0,0.016332,0.10551
baseline,none,789,13,0.0,0.017099,0.123649
baseline,none,789,14,0.0,0.0178,0.140411
baseline,none,789,15,0.0,0.018399,0.157482
baseline,none,789,16,0.0,0.018842,0.173188
baseline,none,789,17,0.0,0.019194,0.187862
baseline,none,789,18,0.0,0.019557,0.201062
baseline,none,789,19,0.0,0.0198,0.213731
baseline,none,789,20,0.0,0.019929,0.225237
baseline,none,789,21,0.0,0.019882,0.234772
baseline,none,789,22,0.0,0.019678,0.242569
baseline,none,789,23,0.0,0.019225,0.249293
baseline,none,789,24,0.0,0.018626,0.252853
baseline,none,789,25,0.0,0.017932,0.255154
baseline,none,789,26,0.0,0.017092,0.255246
baseline,none,789,27,0.0,0.016279,0.254505
baseline,none,789,28,0.0,0.015455,0.253749
baseline,none,789,29,0.0,0.01464,0.251628
baseline,none,789,30,0.0,0.013846,0.248552
anti_PD1_early,deepseek,123,1,0.0,0.002509,0.005554
anti_PD1_early,deepseek,123,2,0.0,0.004649,0.010664
anti_PD1_early,deepseek,123,3,0.0,0.006449,0.015365
anti_PD1_early,deepseek,123,4,0.0,0.008058,0.01969
anti_PD1_early,deepseek,123,5,0.02875,0.056542,0.069993
anti_PD1_early,deepseek,123,6,0.030187,0.027979,0.070698
anti_PD1_early,deepseek,123,7,0.028606,0.014768,0.074146
anti_PD1_early,deepseek,123,8,0.027111,0.00864,0.080019
anti_PD1_early,deepseek,123,9,0.025699,0.005736,0.090746
anti_PD1_early,deepseek,123,10,0.133931,0.051565,0.15849
anti_PD1_early,deepseek,123,11,0.138639,0.025407,0.16909
anti_PD1_early,deepseek,123,12,0.131618,0.013238,0.180727
anti_PD1_early,deepseek,123,13,0.124983,0.007518,0.191366
anti_PD1_early,deepseek,123,14,0.118555,0.004771,0.201755
anti_PD1_early,deepseek,123,15,0.230369,0.036896,0.273237
anti_PD1_early,deepseek,123,16,0.231349,0.018007,0.276375
anti_PD1_early,deepseek,123,17,0.218914,0.00921,0.279387
anti_PD1_early,deepseek,123,18,0.207031,0.005049,0.281932
anti_PD1_early,deepseek,123,19,0.195985,0.003014,0.284125
anti_PD1_early,deepseek,123,20,0.258544,0.028594,0.345141
anti_PD1_early,deepseek,123,21,0.257055,0.013664,0.340706
anti_PD1_early,deepseek,123,22,0.243206,0.006715,0.33735
anti_PD1_early,deepseek,123,23,0.230906,0.003448,0.334187
anti_PD1_early,deepseek,123,24,0.219781,0.00186,0.331053
anti_PD1_early,deepseek,123,25,0.28583,0.019573,0.390519
anti_PD1_early,deepseek,123,26,0.282316,0.009205,0.381626
anti_PD1_early,deepseek,123,27,0.267996,0.004404,0.371844
anti_PD1_early,deepseek,123,28,0.255566,0.002157,0.36382
anti_PD1_early,deepseek,123,29,0.24172,0.001089,0.355088
anti_PD1_early,deepseek,123,30,0.328791,0.017081,0.40658
anti_PD1_early,deepseek,42,1,0.0,0.002473,0.005668
anti_PD1_early,deepseek,42,2,0.0,0.004598,0.010882
anti_PD1_early,deepseek,42,3,0.0,0.006465,0.015679
anti_PD1_early,deepseek,42,4,0.0,0.008068,0.020093
anti_PD1_early,deepseek,42,5,0.0075,0.057241,0.070278
anti_PD1_early,deepseek,42,6,0.007875,0.028332,0.070624
anti_PD1_early,deepseek,42,7,0.007442,0.014946,0.072591
anti_PD1_early,deepseek,42,8,0.007033,0.008706,0.078677
anti_PD1_early,deepseek,42,9,0.006646,0.005762,0.090125
anti_PD1_early,deepseek,42,10,0.09028,0.051683,0.163208
anti_PD1_early,deepseek,42,11,0.094896,0.025421,0.174344
anti_PD1_early,deepseek,42,12,0.089756,0.013226,0.186131
anti_PD1_early,deepseek,42,13,0.084898,0.007527,0.19751
anti_PD1_early,deepseek,42,14,0.080228,0.004768,0.208879
anti_PD1_early,deepseek,42,15,0.173566,0.030768,0.277213
anti_PD1_early,deepseek,42,16,0.177932,0.015136,0.281282
anti_PD1_early,deepseek,42,17,0.168461,0.007818,0.284826
