group,pair,mode,seed,step,tumor_count,alive,cd8_pct
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,14,207,504,0.2381
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,15,207,502,0.239
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,16,199,494,0.2429
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,17,204,499,0.2405
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,18,202,496,0.2419
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,19,195,489,0.2454
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,20,193,487,0.2464
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,21,195,489,0.2454
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,22,195,489,0.2454
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,23,191,484,0.2479
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,24,192,485,0.2474
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,25,196,489,0.2454
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,26,185,478,0.251
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,27,178,471,0.2548
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,28,149,442,0.2715
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,29,137,430,0.2791
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,30,128,421,0.285
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,1,201,501,0.2395
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,2,200,500,0.24
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,3,206,506,0.2372
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,4,214,514,0.2335
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,5,213,513,0.2339
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,6,206,506,0.2372
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,7,218,518,0.2317
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,8,214,513,0.2339
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,9,222,519,0.2312
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,10,222,519,0.2312
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,11,216,513,0.2339
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,12,221,518,0.2317
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,13,224,520,0.2308
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,14,219,515,0.233
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,15,220,516,0.2326
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,16,214,510,0.2353
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,17,217,513,0.2339
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,18,216,512,0.2344
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,19,216,512,0.2344
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,20,219,515,0.233
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,21,212,508,0.2362
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,22,214,510,0.2353
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,23,207,503,0.2386
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,24,202,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,25,202,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,26,203,499,0.2405
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,27,190,486,0.2469
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,28,159,455,0.2637
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,29,157,453,0.2649
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,456,30,154,450,0.2667
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,1,211,511,0.2348
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,2,218,518,0.2317
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,3,231,531,0.226
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,4,238,538,0.223
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,5,240,540,0.2222
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,6,249,549,0.2186
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,7,260,560,0.2143
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,8,269,569,0.2109
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,9,281,580,0.2069
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,10,266,565,0.2124
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,11,269,568,0.2113
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,12,273,572,0.2098
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,13,280,577,0.208
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,14,290,584,0.2055
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,15,266,559,0.2147
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,16,270,563,0.2131
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,17,268,561,0.2139
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,18,270,562,0.2135
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,19,264,555,0.2162
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,20,250,541,0.2218
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,21,255,546,0.2198
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,22,256,547,0.2194
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,23,246,535,0.2243
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,24,238,527,0.2277
