condition,mode,seed,step,tumor_count,cd8_count,total
IFNG_KO,rules,456,16,338,120,638
IFNG_KO,rules,456,17,341,120,641
IFNG_KO,rules,456,18,345,120,645
IFNG_KO,rules,456,19,339,120,639
IFNG_KO,rules,456,20,337,120,637
IFNG_KO,rules,456,21,324,120,624
IFNG_KO,rules,456,22,308,120,608
IFNG_KO,rules,456,23,309,120,609
IFNG_KO,rules,456,24,298,120,598
IFNG_KO,rules,456,25,279,120,579
IFNG_KO,rules,456,26,264,120,564
IFNG_KO,rules,456,27,240,120,540
IFNG_KO,rules,456,28,228,120,528
IFNG_KO,rules,456,29,205,120,505
IFNG_KO,rules,456,30,182,120,482
